image_name,category,signed_pixel_diff_pct,signed_measurement_diff_pct,individual_mae,individual_mape
undistorted_GX010191_100_1250.jpg,Circle_big,-14.736,-8.52,15.336,8.52
undistorted_GX010191_100_1250.jpg,Circle_small,0.91,-1.406,2.039,1.406
undistorted_GX010191_101_1265.jpg,Circle_big,-15.869,-11.491,20.685,11.491
undistorted_GX010191_105_1312.jpg,Circle_big,-6.859,-3.206,5.77,3.206
undistorted_GX010191_105_1312.jpg,Circle_small,3.721,-2.508,3.636,2.508
undistorted_GX010191_106_1320.jpg,Circle_big,-16.891,-16.433,29.579,16.433
undistorted_GX010191_10_370.jpg,Circle_big,-18.8,-19.633,35.34,19.633
undistorted_GX010191_10_370.jpg,Circle_small,5.269,-2.077,3.011,2.077
undistorted_GX010191_110_1355.jpg,Circle_big,-7.648,-9.78,17.604,9.78
undistorted_GX010191_114_1383.jpg,Circle_small,-5.195,3.087,4.477,3.087
undistorted_GX010191_117_1408.jpg,Circle_big,-8.733,-6.146,11.064,6.146
undistorted_GX010191_118_1415.jpg,Circle_big,-12.578,-4.968,8.942,4.968
undistorted_GX010191_14_460.jpg,Circle_big,-10.307,-9.73,17.514,9.73
undistorted_GX010191_14_460.jpg,Circle_small,-31.235,-26.211,38.007,26.211
undistorted_GX010191_15_479.jpg,Circle_big,-8.773,-11.423,20.562,11.423
undistorted_GX010191_16_495.jpg,Circle_big,-8.537,-12.777,22.999,12.777
undistorted_GX010191_17_509.jpg,Circle_big,5.878,-2.842,5.116,2.842
undistorted_GX010191_17_509.jpg,Circle_small,3.645,-1.845,2.675,1.845
undistorted_GX010191_28_230.jpg,Circle_big,4.72,11.75,21.15,11.75
undistorted_GX010191_28_230.jpg,Circle_small,-2.868,5.299,7.684,5.299
undistorted_GX010191_32_305.jpg,Circle_big,7.704,6.383,11.49,6.383
undistorted_GX010191_32_305.jpg,Circle_small,-0.444,6.366,9.23,6.366
undistorted_GX010191_34_1128.jpg,Circle_big,-5.292,-5.722,10.3,5.722
undistorted_GX010191_34_1128.jpg,Circle_small,-13.619,-6.859,9.946,6.859
undistorted_GX010191_34_350.jpg,Circle_big,-2.499,-2.575,4.635,2.575
undistorted_GX010191_34_350.jpg,Circle_small,6.222,2.932,4.251,2.932
undistorted_GX010191_35_1167.jpg,Circle_big,10.088,11.361,20.451,11.361
undistorted_GX010191_35_1167.jpg,Circle_small,-1.387,2.877,4.172,2.877
undistorted_GX010191_35_367.jpg,Circle_big,-2.244,-4.648,8.366,4.648
undistorted_GX010191_35_367.jpg,Circle_small,6.543,0.779,1.129,0.779
undistorted_GX010191_36_1195.jpg,Circle_big,-6.323,-3.946,7.103,3.946
undistorted_GX010191_36_1195.jpg,Circle_small,-3.723,-0.106,0.153,0.106
undistorted_GX010191_37_1242.jpg,Circle_big,-2.663,0.733,1.32,0.733
undistorted_GX010191_37_1242.jpg,Circle_small,0.07,-3.994,5.791,3.994
undistorted_GX010191_38_1266.jpg,Circle_big,-23.334,-18.724,33.702,18.724
undistorted_GX010191_38_1266.jpg,Circle_small,7.1,2.226,3.227,2.226
undistorted_GX010191_41_1322.jpg,Circle_big,-6.031,-6.1,10.981,6.1
undistorted_GX010191_42_1339.jpg,Circle_big,-6.185,-7.432,13.377,7.432
undistorted_GX010191_42_1339.jpg,Circle_small,-2.572,-4.712,6.833,4.712
undistorted_GX010191_42_457.jpg,Circle_big,-13.729,-8.958,16.125,8.958
undistorted_GX010191_46_1396.jpg,Circle_big,-11.78,-11.174,20.114,11.174
undistorted_GX010191_47_507.jpg,Circle_big,3.706,-5.365,9.657,5.365
undistorted_GX010191_47_507.jpg,Circle_small,12.521,5.769,8.366,5.769
undistorted_GX010191_5_190.jpg,Circle_big,-10.833,-4.418,7.952,4.418
undistorted_GX010191_88_1016.jpg,Circle_big,-2.292,5.76,10.367,5.76
undistorted_GX010191_8_309.jpg,Circle_big,4.901,-0.156,0.28,0.156
undistorted_GX010191_8_309.jpg,Circle_small,0.067,6.792,9.848,6.792
undistorted_GX010191_90_1036.jpg,Circle_big,-10.244,-5.15,9.271,5.15
undistorted_GX010191_94_1132.jpg,Circle_big,-14.314,-12.933,23.28,12.933
undistorted_GX010191_94_1132.jpg,Circle_small,-21.499,-12.756,18.496,12.756
undistorted_GX010192_26_1578.jpg,Square_big,-4.582,-3.959,7.127,3.959
undistorted_GX010192_26_1578.jpg,Square_small,-5.189,-3.808,5.521,3.808
undistorted_GX010193_11_1065.jpg,Square_big,0.272,2.407,4.332,2.407
undistorted_GX010193_18_1289.jpg,Square_small,-2.948,0.582,0.844,0.582
undistorted_GX010193_19_1334.jpg,Square_small,-7.948,-7.406,10.739,7.406
undistorted_GX010193_27_1553.jpg,Square_small,-14.21,-6.153,8.921,6.153
undistorted_GX010193_28_1584.jpg,Square_small,-5.779,-0.99,1.435,0.99
undistorted_GX010193_7_360.jpg,Square_small,-11.837,-11.307,16.396,11.307
undistorted_GX010194_19_285.jpg,Square_small,-6.628,-8.217,11.915,8.217
undistorted_GX010194_26_373.jpg,Square_small,-7.466,-12.858,18.645,12.858
undistorted_GX010194_60_836.jpg,Square_small,-13.198,-8.274,11.997,8.274
undistorted_GX010194_65_928.jpg,Square_small,-3.863,-5.493,7.964,5.493
undistorted_GX010194_7_885.jpg,Square_small,5.642,6.719,9.742,6.719
