image_name,which,pond,total_length_mm,carapace_length_mm,expected_total_mm,expected_carapace_mm,total_diff_mm,carapace_diff_mm
undistorted_GX010191_15_479,small,circle2.csv,135.78549656136784,33.44602128852531,145,41,-9.214503438632164,-7.5539787114746915
undistorted_GX010191_43_1353,big,circle2.csv,172.3521936185728,42.307013014920564,180,63,-7.647806381427188,-20.692986985079436
undistorted_GX010191_35_367,small,circle2.csv,140.5971699915157,33.72452747758242,145,41,-4.402830008484301,-7.27547252241758
undistorted_GX010191_94_1132,small,circle2.csv,168.5794168514515,44.401616941043116,145,41,23.579416851451498,3.401616941043116
undistorted_GX010191_33_331,small,circle2.csv,164.18476755170454,35.90409781154982,145,41,19.18476755170454,-5.095902188450182
undistorted_GX010191_10_370,small,circle2.csv,126.72468766929353,32.459424846668185,145,41,-18.27531233070647,-8.540575153331815
undistorted_GX010191_29_257,small,circle2.csv,183.84410707785545,42.914917191973274,145,41,,1.9149171919732737
undistorted_GX010191_29_257,small,circle2.csv,120.07059565431307,29.736260543445464,145,41,-24.929404345686933,-11.263739456554536
undistorted_GX010191_17_509,small,circle2.csv,147.41216121948574,41.85637496673955,145,41,2.412161219485739,0.8563749667395513
undistorted_GX010191_17_509,small,circle2.csv,167.38672079276063,37.91680324293481,145,41,22.386720792760627,-3.0831967570651884
undistorted_GX010191_8_309,small,circle2.csv,159.36177483662252,37.21734036935919,145,41,14.361774836622516,-3.782659630640808
undistorted_GX010191_9_346,big,circle2.csv,1131.9222996506662,1161.0746732443608,180,63,,
undistorted_GX010191_19_537,big,circle2.csv,167.03942597259868,41.21066169747038,180,63,-12.960574027401321,-21.78933830252962
undistorted_GX010191_37_1242,small,circle2.csv,125.00045861053992,31.38945044780389,145,41,-19.999541389460077,-9.610549552196112
undistorted_GX010191_97_1190,small,circle2.csv,170.56114357104684,39.214271949191065,145,41,25.56114357104684,-1.7857280508089346
undistorted_GX010191_32_1049,big,circle2.csv,200.15015057760894,52.843778932596265,180,63,20.15015057760894,-10.156221067403735
undistorted_GX010191_18_521,big,circle2.csv,187.88162847260475,44.312886554644294,180,63,7.881628472604746,-18.687113445355706
undistorted_GX010191_44_478,small,circle2.csv,133.01954194949678,32.85443365737574,145,41,-11.980458050503216,-8.145566342624257
